binary_ohe__Gender_Male,binary_ohe__OverTime_Yes,binary_ohe__Attrition_Yes,ohe__EducationBackground_Life Sciences,ohe__EducationBackground_Marketing,ohe__EducationBackground_Medical,ohe__EducationBackground_Other,ohe__EducationBackground_Technical Degree,ohe__MaritalStatus_Married,ohe__MaritalStatus_Single,ohe__EmpDepartment_Development,ohe__EmpDepartment_Finance,ohe__EmpDepartment_Human Resources,ohe__EmpDepartment_Research & Development,ohe__EmpDepartment_Sales,ohe__EmpJobRole_Data Scientist,ohe__EmpJobRole_Delivery Manager,ohe__EmpJobRole_Developer,ohe__EmpJobRole_Finance Manager,ohe__EmpJobRole_Healthcare Representative,ohe__EmpJobRole_Human Resources,ohe__EmpJobRole_Laboratory Technician,ohe__EmpJobRole_Manager,ohe__EmpJobRole_Manager R&D,ohe__EmpJobRole_Manufacturing Director,ohe__EmpJobRole_Research Director,ohe__EmpJobRole_Research Scientist,ohe__EmpJobRole_Sales Executive,ohe__EmpJobRole_Sales Representative,ohe__EmpJobRole_Senior Developer,ohe__EmpJobRole_Senior Manager R&D,ohe__EmpJobRole_Technical Architect,ohe__EmpJobRole_Technical Lead,ohe__BusinessTravelFrequency_Travel_Frequently,ohe__BusinessTravelFrequency_Travel_Rarely,scaler__Age,scaler__DistanceFromHome,scaler__EmpHourlyRate,scaler__EmpLastSalaryHikePercent,scaler__ExperienceYearsAtThisCompany,scaler__ExperienceYearsInCurrentRole,scaler__NumCompaniesWorked,scaler__TotalWorkExperienceInYears,scaler__TrainingTimesLastYear,scaler__YearsSinceLastPromotion,scaler__YearsWithCurrManager,remainder__EmpEducationLevel,remainder__EmpEnvironmentSatisfaction,remainder__EmpJobInvolvement,remainder__EmpJobLevel,remainder__EmpJobSatisfaction,remainder__EmpRelationshipSatisfaction,remainder__EmpWorkLifeBalance
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7242012352314147,-0.8722096833505628,0.3050945373161457,-0.885765839105769,0.009374837435404935,0.003948021182106815,-0.6912302348011908,-0.6745576806615107,0.15669427823811324,-0.10624860726743034,0.3596600408137587,2.0,4.0,4.0,1.0,3.0,4.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052767525687401326,-0.8722096833505628,1.6822727881832078,-0.34394718193923085,-1.488698614387546,-1.7711551100586682,0.9155995994058219,1.0120012079260203,-0.6404771591372063,-0.976563525066066,-1.6615420899740658,2.0,3.0,2.0,2.0,4.0,4.0,4.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0662886568859542,-0.7498980076163597,0.6493891000329112,-0.07303785335596177,-1.488698614387546,-0.8836035444382807,-0.6912302348011908,-1.4411753572922066,-0.6404771591372063,-0.976563525066066,-0.7910577131157575,3.0,3.0,2.0,1.0,3.0,4.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27657876220207245,0.47321874972567074,1.3871631629974088,-0.6148565105224999,1.6511184384141777,1.1772273714369619,1.317307057957575,1.6252953492305782,0.9538657156134327,2.504696146128477,-0.281856995190024,4.0,3.0,2.0,4.0,2.0,4.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27657876220207245,-0.7498980076163597,0.5018342874400117,-0.07303785335596177,0.8359047833446286,1.0423167878706656,-1.092937693352944,0.09205999596918552,0.15669427823811324,-0.976563525066066,0.949911040600859,2.0,3.0,2.0,2.0,3.0,4.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6122956169740791,-0.9945213590847658,1.6330878506522413,2.636055432476729,1.7176489609708852,1.8566789341082284,-0.6912302348011908,1.4719718139044384,0.15669427823811324,2.143482819060259,0.7822165099733523,1.0,2.0,3.0,2.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.05913809256993423,2.1855822100045135,1.3871631629974088,-0.6148565105224999,0.40165961319364796,0.8914995868024942,1.317307057957575,1.0120012079260203,0.15669427823811324,1.634381228329841,0.949911040600859,3.0,3.0,3.0,2.0,3.0,2.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7305718021139476,-0.8722096833505628,-0.6786042133031844,2.36514610389346,-2.4338777281781434,-1.7711551100586682,0.9155995994058219,0.24538353129532472,0.9538657156134327,-0.976563525066066,-1.6615420899740658,3.0,3.0,2.0,2.0,4.0,2.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9543830386286186,-0.01602795321114146,1.2887932879354758,0.1978714752273073,0.40165961319364796,0.5231324045263861,-0.6912302348011908,-0.5212341453353716,-1.4376485965125256,-0.976563525066066,0.949911040600859,4.0,2.0,3.0,2.0,4.0,4.0,3.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8361068534887502,-0.5052746561479536,1.0920535378116099,-1.156675167689038,1.8416985526246843,1.1772273714369619,1.7190145165093282,2.3919130258612737,1.7510371529887523,0.7640663105312053,1.349839086859351,3.0,2.0,3.0,5.0,2.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9543830386286186,2.1855822100045135,-1.318008401205749,1.5524181181436527,0.009374837435404935,0.003948021182106815,-1.092937693352944,-0.6745576806615107,1.7510371529887523,-0.976563525066066,-1.6615420899740658,3.0,2.0,1.0,2.0,1.0,2.0,2.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.067068654319441,-0.8722096833505628,-1.416378276267682,0.1978714752273073,0.7059393246235809,0.8914995868024942,0.5138921408540688,0.24538353129532472,0.15669427823811324,1.634381228329841,0.0794266637425508,1.0,3.0,3.0,2.0,4.0,3.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5067605655992764,-0.8722096833505628,0.8953137876877437,-0.6148565105224999,0.21957550914793383,-0.3644191610940013,0.5138921408540688,-0.21458707468309265,1.7510371529887523,-0.976563525066066,0.3596600408137587,1.0,4.0,2.0,2.0,1.0,4.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.28294932908460535,0.22859539825726463,-0.48186446317931836,-1.156675167689038,0.8359047833446286,1.1772273714369619,0.5138921408540688,0.5520306019476031,1.7510371529887523,-0.10624860726743034,1.0978280995940177,3.0,3.0,2.0,2.0,2.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8432574178047703,-0.5052746561479536,-0.38349458811738535,-1.156675167689038,1.2588336626559347,1.6080687118860466,0.5138921408540688,2.3919130258612737,0.15669427823811324,1.0442451339701715,1.0978280995940177,3.0,3.0,3.0,5.0,3.0,4.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.8496279846873032,-0.8722096833505628,-0.8261590258960839,-0.6148565105224999,-0.935804276355192,-0.3644191610940013,-0.6912302348011908,-1.2878518219660675,0.15669427823811324,-0.976563525066066,-0.281856995190024,3.0,3.0,2.0,1.0,3.0,4.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9551630360621057,-0.26065130467954756,0.10835478719227967,-0.07303785335596177,0.40165961319364796,-0.8836035444382807,0.5138921408540688,0.5520306019476031,-0.6404771591372063,-0.10624860726743034,0.949911040600859,4.0,4.0,3.0,2.0,4.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6122956169740791,-0.8722096833505628,0.10835478719227967,-0.34394718193923085,-1.488698614387546,-1.7711551100586682,0.5138921408540688,-0.9812047513137891,0.15669427823811324,-0.976563525066066,-1.6615420899740658,3.0,3.0,2.0,1.0,2.0,2.0,3.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2900998934006254,-0.7498980076163597,1.2396083504045092,-0.6148565105224999,-0.935804276355192,-0.3644191610940013,0.9155995994058219,-0.6745576806615107,1.7510371529887523,-0.976563525066066,-0.281856995190024,3.0,1.0,3.0,1.0,1.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0662886568859542,-0.8722096833505628,-1.2196385261438158,-1.156675167689038,0.009374837435404935,0.003948021182106815,-0.6912302348011908,-0.6745576806615107,0.15669427823811324,-0.10624860726743034,-0.281856995190024,4.0,2.0,3.0,1.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7313517995474346,-0.5052746561479536,-0.08838496293158635,1.0105994609771145,0.5622691754677592,0.8914995868024942,2.522429433612835,-0.06126353935695343,-0.6404771591372063,1.634381228329841,0.949911040600859,3.0,2.0,3.0,3.0,2.0,3.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9543830386286186,1.4517121555992951,-1.1704535886128495,-1.156675167689038,0.009374837435404935,-0.3644191610940013,-0.6912302348011908,-0.8278812159876497,-0.6404771591372063,-0.976563525066066,-0.281856995190024,3.0,3.0,3.0,1.0,4.0,3.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.395634944775428,-0.8722096833505628,-1.1704535886128495,-0.07303785335596177,0.009374837435404935,0.2896758058165739,0.11218468230231556,2.6985600965135528,0.15669427823811324,1.0442451339701715,0.0794266637425508,1.0,2.0,3.0,5.0,4.0,4.0,3.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.052767525687401326,-0.3829629804137506,-0.13756990046255285,1.8233274467269218,-0.543519500596949,-0.3644191610940013,0.5138921408540688,-0.5212341453353716,0.15669427823811324,-0.976563525066066,-0.281856995190024,4.0,3.0,3.0,1.0,1.0,4.0,3.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9480124717460857,1.329400479865092,0.6493891000329112,-0.34394718193923085,1.7176489609708852,0.8914995868024942,-1.092937693352944,1.6252953492305782,-0.6404771591372063,1.0442451339701715,1.349839086859351,2.0,3.0,3.0,4.0,4.0,2.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.618666183856612,-0.26065130467954756,0.10835478719227967,-0.34394718193923085,-0.543519500596949,-0.3644191610940013,-0.2895227762494376,-0.21458707468309265,0.15669427823811324,0.4028529834629872,-0.281856995190024,4.0,1.0,3.0,3.0,1.0,4.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16467314394473687,-0.26065130467954756,-0.9737138384889834,1.2815087895603836,0.40165961319364796,0.8914995868024942,-1.092937693352944,-0.36791061000923186,-0.6404771591372063,-0.976563525066066,0.5886273816682842,4.0,4.0,2.0,2.0,4.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1710437108272698,-0.26065130467954756,-0.33430965058641887,1.5524181181436527,0.5622691754677592,0.5231324045263861,0.11218468230231556,1.0120012079260203,0.15669427823811324,-0.10624860726743034,0.7822165099733523,3.0,3.0,3.0,3.0,3.0,2.0,4.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9543830386286186,-0.8722096833505628,0.7477589750948442,1.2815087895603836,0.5622691754677592,0.8914995868024942,-0.6912302348011908,-0.36791061000923186,-0.6404771591372063,1.634381228329841,0.5886273816682842,4.0,2.0,3.0,2.0,2.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.067068654319441,-0.8722096833505628,1.5839029131212747,1.2815087895603836,0.009374837435404935,-0.3644191610940013,2.1207219750610813,1.3186482785782987,-0.6404771591372063,-0.976563525066066,0.3596600408137587,4.0,2.0,2.0,1.0,4.0,2.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0662886568859542,-0.9945213590847658,-0.28512471305545234,1.0105994609771145,-0.935804276355192,-0.3644191610940013,0.9155995994058219,-0.6745576806615107,-1.4376485965125256,0.4028529834629872,-1.6615420899740658,1.0,3.0,2.0,2.0,1.0,3.0,3.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7305718021139476,2.1855822100045135,1.6330878506522413,2.0942367753101907,0.5622691754677592,0.8914995868024942,1.7190145165093282,-0.06126353935695343,-0.6404771591372063,1.634381228329841,0.949911040600859,5.0,3.0,3.0,2.0,4.0,4.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5067605655992764,-0.13833962894534452,-0.039200025400619835,-1.156675167689038,1.1647546229385308,1.5131759552613238,-0.6912302348011908,0.3987070666214634,-0.6404771591372063,2.143482819060259,1.2301444176720675,2.0,3.0,2.0,2.0,2.0,4.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1710437108272698,1.0847771283966858,0.2559095997851792,0.1978714752273073,0.009374837435404935,0.003948021182106815,-1.092937693352944,-0.6745576806615107,-0.6404771591372063,-0.976563525066066,0.3596600408137587,4.0,2.0,3.0,2.0,1.0,4.0,1.0
